City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yerofey pavlovich,53.9667,121.9667,-18.82,88,100,1.92,RU,1733158497
83,mana,5.6592,-53.7767,28.4,70,100,5.18,GF,1733158498
84,udachny,66.4167,112.4,-31.32,82,12,2.96,RU,1733158499
85,fisterra,42.9049,-9.2629,14.21,71,97,6.02,ES,1733158500
86,enewetak,11.3474,162.3373,27.79,79,60,10.85,MH,1733158501
87,tsiombe,-25.3,45.4833,24.2,82,25,5.69,MG,1733158504
88,nemuro,43.3236,145.575,8.43,77,96,7.71,JP,1733158505
89,iqaluit,63.7506,-68.5145,-25.15,69,20,9.77,CA,1733158506
90,slobodskoy,58.7322,50.1772,1.55,95,100,4.66,RU,1733158507
91,thompson,55.7435,-97.8558,-26.91,76,40,2.06,CA,1733158508
92,el copey,10.1503,-73.9614,30.81,65,100,0.5,CO,1733158510
93,chonchi,-42.6128,-73.8092,15.07,47,88,2.12,CL,1733158511
94,belyy yar,53.6039,91.3903,-7.06,93,100,0.0,RU,1733158513
95,minas de marcona,-15.2119,-75.1103,20.33,62,98,6.73,PE,1733158514
96,seririt,-8.1928,114.9388,25.81,94,99,2.56,ID,1733158515
97,reyes,-14.3167,-67.3833,33.09,58,40,6.17,BO,1733158516
98,shizuishan,39.2333,106.7694,-2.5,41,50,1.27,CN,1733158517
99,magadan,59.5667,150.8,-4.49,74,95,5.55,RU,1733158518
100,wailua homesteads,22.0669,-159.378,23.44,73,75,3.6,US,1733158520
101,klyuchi,52.2667,79.1667,-12.87,97,49,2.58,RU,1733158521
102,puerto madryn,-42.7692,-65.0385,15.54,31,80,11.23,AR,1733158384
103,san antonio de pale,-1.4014,5.6325,26.67,80,17,4.05,GQ,1733158523
104,medina,24.4686,39.6142,24.24,23,0,2.06,SA,1733158524
105,avarua,-21.2078,-159.775,22.03,94,100,1.03,CK,1733158526
106,tiksi,71.6872,128.8694,-23.34,99,68,1.9,RU,1733158527
107,nicoya,10.1483,-85.452,27.03,76,98,4.78,CR,1733158528
108,hastings,50.8552,0.5729,8.86,79,38,8.15,GB,1733158347
109,ouadda,8.0777,22.4007,24.45,29,1,1.21,CF,1733158530
110,horta,38.5333,-28.6333,21.12,78,40,6.17,PT,1733158531
111,tral,33.9333,75.1,5.38,41,0,2.52,IN,1733158532
112,banda aceh,5.5577,95.3222,25.78,83,97,2.83,ID,1733158533
113,madimba,-10.4,40.3333,25.95,76,31,2.58,TZ,1733158535
114,east london,-33.0153,27.9116,21.52,68,20,4.12,ZA,1733158536
115,as sulayyil,20.4607,45.5779,20.17,37,3,5.51,SA,1733158537
116,taroa,8.7058,171.2275,27.44,81,100,9.83,MH,1733158538
117,bethel,41.3712,-73.414,2.74,57,0,3.6,US,1733158461
118,moraga,37.8349,-122.1297,13.57,64,20,1.54,US,1733158541
119,howrah,22.5892,88.3103,22.0,73,40,0.0,IN,1733158542
120,hamilton,39.1834,-84.5333,-0.2,60,0,3.6,US,1733158169
121,kamaishi,39.2667,141.8833,6.5,82,21,3.6,JP,1733158545
122,mareeba,-17.0,145.4333,22.91,92,45,1.07,AU,1733158546
123,kerikeri,-35.2268,173.9474,12.73,94,100,0.64,NZ,1733158547
124,mulchen,-37.7167,-72.2333,20.74,22,0,4.17,CL,1733158469
125,sinabang,2.4803,96.3801,23.72,91,100,4.38,ID,1733158549
126,saipan,15.1355,145.701,29.39,82,40,9.26,MP,1733158550
127,vorkuta,67.5,64.0,-9.07,94,100,3.15,RU,1733158551
128,nabire,-3.3667,135.4833,23.91,95,100,2.52,ID,1733158553
129,keflavik,64.0049,-22.5624,1.24,93,100,14.4,IS,1733158554
130,undurkhaan,47.3194,110.6556,-13.32,62,0,1.51,MN,1733158404
131,labuan,5.2767,115.2417,28.2,83,20,1.03,MY,1733158556
